0 1:58 2:0 3:0 4:0 5:0 6:2143 7:0 8:0 9:0 10:5 11:0 12:261 13:1 14:-1 15:0 16:0
0 1:44 2:1 3:1 4:1 5:0 6:29 7:0 8:0 9:0 10:5 11:0 12:151 13:1 14:-1 15:0 16:0
0 1:33 2:2 3:0 4:1 5:0 6:2 7:0 8:1 9:0 10:5 11:0 12:76 13:1 14:-1 15:0 16:0
0 1:47 2:3 3:0 4:2 5:0 6:1506 7:0 8:0 9:0 10:5 11:0 12:92 13:1 14:-1 15:0 16:0
0 1:33 2:4 3:1 4:2 5:0 6:1 7:1 8:0 9:0 10:5 11:0 12:198 13:1 14:-1 15:0 16:0
0 1:35 2:0 3:0 4:0 5:0 6:231 7:0 8:0 9:0 10:5 11:0 12:139 13:1 14:-1 15:0 16:0
0 1:28 2:0 3:1 4:0 5:0 6:447 7:0 8:1 9:0 10:5 11:0 12:217 13:1 14:-1 15:0 16:0
0 1:42 2:2 3:2 4:0 5:1 6:2 7:0 8:0 9:0 10:5 11:0 12:380 13:1 14:-1 15:0 16:0
0 1:58 2:5 3:0 4:3 5:0 6:121 7:0 8:0 9:0 10:5 11:0 12:50 13:1 14:-1 15:0 16:0
0 1:43 2:1 3:1 4:1 5:0 6:593 7:0 8:0 9:0 10:5 11:0 12:55 13:1 14:-1 15:0 16:0
0 1:41 2:6 3:2 4:1 5:0 6:270 7:0 8:0 9:0 10:5 11:0 12:222 13:1 14:-1 15:0 16:0
0 1:29 2:6 3:1 4:1 5:0 6:390 7:0 8:0 9:0 10:5 11:0 12:137 13:1 14:-1 15:0 16:0
0 1:53 2:1 3:0 4:1 5:0 6:6 7:0 8:0 9:0 10:5 11:0 12:517 13:1 14:-1 15:0 16:0
0 1:58 2:1 3:0 4:2 5:0 6:71 7:0 8:0 9:0 10:5 11:0 12:71 13:1 14:-1 15:0 16:0
0 1:57 2:7 3:0 4:1 5:0 6:162 7:0 8:0 9:0 10:5 11:0 12:174 13:1 14:-1 15:0 16:0
0 1:51 2:5 3:0 4:3 5:0 6:229 7:0 8:0 9:0 10:5 11:0 12:353 13:1 14:-1 15:0 16:0
0 1:45 2:6 3:1 4:2 5:0 6:13 7:0 8:0 9:0 10:5 11:0 12:98 13:1 14:-1 15:0 16:0
0 1:57 2:3 3:0 4:3 5:0 6:52 7:0 8:0 9:0 10:5 11:0 12:38 13:1 14:-1 15:0 16:0
0 1:60 2:5 3:0 4:3 5:0 6:60 7:0 8:0 9:0 10:5 11:0 12:219 13:1 14:-1 15:0 16:0
0 1:33 2:7 3:0 4:1 5:0 6:0 7:0 8:0 9:0 10:5 11:0 12:54 13:1 14:-1 15:0 16:0
0 1:28 2:3 3:0 4:1 5:0 6:723 7:0 8:1 9:0 10:5 11:0 12:262 13:1 14:-1 15:0 16:0
0 1:56 2:0 3:0 4:0 5:0 6:779 7:0 8:0 9:0 10:5 11:0 12:164 13:1 14:-1 15:0 16:0
0 1:32 2:3 3:1 4:3 5:0 6:23 7:0 8:1 9:0 10:5 11:0 12:160 13:1 14:-1 15:0 16:0
0 1:25 2:7 3:0 4:1 5:0 6:50 7:0 8:0 9:0 10:5 11:0 12:342 13:1 14:-1 15:0 16:0
0 1:40 2:5 3:0 4:3 5:0 6:0 7:0 8:1 9:0 10:5 11:0 12:181 13:1 14:-1 15:0 16:0
0 1:44 2:6 3:0 4:1 5:0 6:-372 7:0 8:0 9:0 10:5 11:0 12:172 13:1 14:-1 15:0 16:0
0 1:39 2:0 3:1 4:0 5:0 6:255 7:0 8:0 9:0 10:5 11:0 12:296 13:1 14:-1 15:0 16:0
